anio,dependencia,cargos
2021,Sector Público,987453
2022,Sector Público,1010678
2023,Sector Público,1030160
2024,Sector Público,1052612
2025,Sector Público,1093050
2021,Administración Central,428600
2022,Administración Central,425562
2023,Administración Central,430239
2024,Administración Central,460018
2025,Administración Central,510160
2021,Organismos Autónomos,25227
2022,Organismos Autónomos,24997
2023,Organismos Autónomos,25518
2024,Organismos Autónomos,25457
2025,Organismos Autónomos,25565
2021,Municipalidades,435432
2022,Municipalidades,459744
2023,Municipalidades,470496
2024,Municipalidades,460727
2025,Municipalidades,450947
2021,Universidades y CFT Estatales,51080
2022,Universidades y CFT Estatales,51669
2023,Universidades y CFT Estatales,55190
2024,Universidades y CFT Estatales,57517
2025,Universidades y CFT Estatales,58417
2021,Empresas Públicas,46350
2022,Empresas Públicas,47866
2023,Empresas Públicas,47914
2024,Empresas Públicas,48129
2025,Empresas Públicas,47174
2021,Otras Instituciones Públicas,764
2022,Otras Instituciones Públicas,840
2023,Otras Instituciones Públicas,803
2024,Otras Instituciones Públicas,764
2025,Otras Instituciones Públicas,787
