anio,total,renta,iva,otros
2009,13.901022337107324,4.75143926085531,7.337838385264534,1.8117446909874806
2010,15.874228055275905,6.3963195151437375,7.585245679714847,1.892662860417321
2011,17.340071051126728,7.413787812441015,7.771697571707542,2.1545856669781704
2012,17.52171274978065,7.330492004305082,8.042614187928523,2.148606557547046
2013,16.736913772846986,6.617483480421058,8.137462334949978,1.9819679574759501
2014,16.55489094830174,6.224255763674491,8.192299446487784,2.138335738139464
2015,17.465720083595247,7.370307024732667,8.325781460693408,1.7696315981691715
2016,17.247447266420266,6.7965118757196645,8.338197377621093,2.1127380130795093
2017,17.219821615466063,6.8994089805106045,8.399342649902506,1.921069985052954
2018,18.17936748567969,7.629660382268463,8.558229170379809,1.991477933031419
2019,17.760392979752552,7.3163100534578485,8.364836390692009,2.079246535602696
2020,16.07726066933321,6.218731752972157,8.057007720011121,1.8015211963499311
2021,19.110428705687855,7.891213236345951,9.39509121385624,1.824124255485664
2022,21.28625901183859,10.275926716123518,9.295464537096604,1.7148677586184693
2023,17.85622740762495,7.436112160258089,8.567365808694724,1.8527494386721362
2024,17.97484480120756,7.312349196856073,8.584396154342858,2.0780994500086294
2025,17.843344370393606,7.492619837652188,8.396542628096986,1.9541819046444306
