region,hogares,deficit,deficit_por_100_hogares
Arica y Parinacota,80620,12055,14.952865293971719
Tarapacá,121511,18126,14.917167993021208
Antofagasta,213747,27028,12.644855834233931
Atacama,103057,8613,8.357510892030623
Coquimbo,292567,19423,6.638821193094231
Valparaíso,701072,42497,6.0617169135267135
Metropolitana,2599621,238934,9.191109011659776
O'Higgins,350372,20332,5.802975123582935
Maule,406964,20814,5.114457298434259
Ñuble,190402,8879,4.663291351981597
Biobío,579170,30468,5.260631593487232
La Araucanía,373360,16572,4.438611527748018
Los Ríos,148643,7099,4.775872392241815
Los Lagos,332395,16302,4.9044059026158635
Aysén,39964,1927,4.8218396556901215
Magallanes,63062,2835,4.495575782563192
