archivo,institucion,url,periodo,fecha_inventario,nota,bytes,sha256
03_tributacion/datos_originales/sii_pib/Serie Ingresos Tributarios Anuales como Porcentaje del PIB 2009-2025.xlsx,SII,https://www.sii.cl/aprenda_sobre_impuestos/estudios/estadistribu/serie_ingresos_tributarios_anuales_porcentaje_PIB_2009_2025.zip,2009-2025,2026-09-14,descarga institucional; 2024 provisional; 2025 preliminar,88237,986b51f04d3b51725dbd666ca85f7a7c3a018fc9964cac6c1b98bf420a7c7f51
03_tributacion/datos_originales/sii_pib.zip,SII,https://www.sii.cl/aprenda_sobre_impuestos/estudios/estadistribu/serie_ingresos_tributarios_anuales_porcentaje_PIB_2009_2025.zip,2009-2025,2026-09-14,descarga institucional; 2024 provisional; 2025 preliminar,83407,361e775041a8e637dcfdcb8d6906f598309a8e81eb521b7e8a4abe01313fa6d0
04_empleo_formal/datos_originales/ene_anual.xlsx,INE,https://www.ine.gob.cl/docs/default-source/ocupacion-y-desocupacion/cuadros-estadisticos/estimaciones-anuales/indicadores_principales_anual.xlsx,2010-2025,2026-09-14,descarga institucional; estimaciones anuales ENE,140116,8bc1148a2ddf079b5e038c4862a119b171c0e39f1473868e2b73fda1fdcb24f3
05_finanzas_publicas/datos_originales/dipres_gct_pib.xlsx,DIPRES,http://www.dipres.gob.cl/598/articles-45401_doc_xls_GCT3.xlsx,1990-2025,2026-09-14,descarga institucional HTTP; HTTPS no pudo validarse en este entorno; Gobierno Central Total,38155,867065868a2cde562d8ff59f2244e409ddffd80e80b4f5192a61206dffd80b76
06_vivienda/datos_originales/minvu_censos.xlsx,MINVU,https://catalogo.minvu.cl/cgi-bin/koha/opac-retrieve-file.pl?id=081c61c7739dc70094c000faf4c6d1f3,2024,2026-09-14,descarga institucional; metodologia completa; total conciliado 491904,172851,8580f7c51aee8bf62ab0b18a9642ac8fa15155c7a0c3057be6f122786e010570
06_vivienda/datos_originales/minvu_deficit2024.json,MINVU,https://geoide.minvu.cl/server/rest/services/Hosted/Deficit_habitacional_2024/FeatureServer/0,2024,2026-09-14,capa geográfica excluida del análisis: suma 479031 no concilia con tabla nacional,1980,0c163be248780db0b28cf6d74bbde1940474365a6dfeb389aa8c9391c587a772
07_inversion/datos_originales/bcentral_inversion.html,Banco Central de Chile,https://si3.bcentral.cl/Siete/Es/Siete/Cuadro/CAP_CCNN/MN_CCNN76/CCNN2018_G3_RPIB_A/637801697822047501,2013-2025,2026-09-14,tabla HTML institucional; FBCF/PIB a precios corrientes,915790,0c61590733fb758c6a236603ec3f93ddb98536e227d69d873affaf5339d50414
01_empleo_publico/Personal disponible en el sector publico.xlsx,DIPRES,https://www.dipres.gob.cl/598/w3-article-190248.html,2021-2025,2026-09-14,archivo previo del autor; fecha original y URL exacta de descarga no documentadas,99065,ccb503aaea5c0681c359752f01a527ca4eb0a25fa064f2c391183acd0a2b4b11
02_salud_fonasa/Beneficiarios 2023.csv,Fonasa / Superintendencia de Salud,,2018-2025,2026-09-14,archivo previo del autor; fecha original y URL exacta de descarga no documentadas,8209168,184aeda83033a97fee90dbb4799050e3d816431ca0e10804e0a0751911fc7912
02_salud_fonasa/Beneficiarios 2024.csv,Fonasa / Superintendencia de Salud,,2018-2025,2026-09-14,archivo previo del autor; fecha original y URL exacta de descarga no documentadas,10400418,add82f5b5e7b97a2935664dbd0cfb9a88eca15d08cd56ea584c87057662426fa
02_salud_fonasa/Beneficiarios 2025.csv,Fonasa / Superintendencia de Salud,,2018-2025,2026-09-14,archivo previo del autor; fecha original y URL exacta de descarga no documentadas,10242840,e519f85545dce59fdcee7399888a17df30e526c9b6f2f3b07ca813859dc415c7
02_salud_fonasa/Beneficiarios Fonasa 2022.csv,Fonasa / Superintendencia de Salud,,2018-2025,2026-09-14,archivo previo del autor; fecha original y URL exacta de descarga no documentadas,28258733,beb875c04631a72d57cbfb291e875ca34297ad02276bf088a57ed8f99d018243
02_salud_fonasa/cartera_isapres.xlsx,Fonasa / Superintendencia de Salud,,2018-2025,2026-09-14,archivo previo del autor; fecha original y URL exacta de descarga no documentadas,495002,4db87d2999a42a37b1c3f2898e231cf0a7d5d4ae08706c2a3d36c552a38ef583
02_salud_fonasa/Diccionario beneficiarios.xlsx,Fonasa / Superintendencia de Salud,,2018-2025,2026-09-14,archivo previo del autor; fecha original y URL exacta de descarga no documentadas,9855,97d760d074871070779fcd65b383b1a344e132d70ae12d2060dfc024289df5ff
02_salud_fonasa/Resultados Beneficiarios 201812.csv,Fonasa / Superintendencia de Salud,,2018-2025,2026-09-14,archivo previo del autor; fecha original y URL exacta de descarga no documentadas,75236701,8de94c23f63e7e5a2fddb5ee9386367e3417de47355e2e496df289e0717dd2a8
02_salud_fonasa/Resultados Beneficiarios 201912.csv,Fonasa / Superintendencia de Salud,,2018-2025,2026-09-14,archivo previo del autor; fecha original y URL exacta de descarga no documentadas,83756217,284fced25496e32db7568ef24699cb97f871099618c9badec43f8e801f703e66
02_salud_fonasa/Resultados Beneficiarios 202012.csv,Fonasa / Superintendencia de Salud,,2018-2025,2026-09-14,archivo previo del autor; fecha original y URL exacta de descarga no documentadas,85501045,c6e97f3226f07a77b602e9528b0dd540496d4b21c5e030de55bc319020b923f3
02_salud_fonasa/Resultados Beneficiarios 202112.csv,Fonasa / Superintendencia de Salud,,2018-2025,2026-09-14,archivo previo del autor; fecha original y URL exacta de descarga no documentadas,27336646,0a07a359c4a4c51cae1ddaecaa05a13172b7b18a281fd063424d313a32493be8
